Date,Phase,Module,Total Scripts,Passed,Failed
2025-08-05,phase.github,workflows,1,1,0
2025-08-05,phase01,A,3,3,0
2025-08-05,phase01,B,3,3,0
2025-08-05,phase01,C,3,3,0
2025-08-05,phase01,D,4,4,0
2025-08-05,phase01,E,3,3,0
2025-08-05,phase01,F,3,3,0
2025-08-05,phase01,G,3,3,0
2025-08-05,phase01,H,4,4,0
2025-08-05,phase01,I,4,4,0
2025-08-05,phase02,A,10,10,0
2025-08-05,phase02,B,8,8,0
2025-08-05,phase02,C,6,6,0
2025-08-05,phase02,D,6,6,0
2025-08-05,phase02,E,9,9,0
2025-08-05,phase02,F,6,6,0
2025-08-05,phase02,G,5,5,0
2025-08-05,phase02,H,5,5,0
2025-08-05,phase03,A,19,19,0
2025-08-05,phase03,B,4,4,0
2025-08-05,phase03,C,3,3,0
2025-08-05,phase03,D,3,3,0
2025-08-05,phase03,E,4,4,0
2025-08-05,phase03,F,3,3,0
2025-08-05,phase03,G,5,5,0
2025-08-05,phase03,H,5,5,0
2025-08-05,phase03,I,3,3,0
2025-08-05,phase04,A,3,3,0
2025-08-05,phase04,B,6,6,0
2025-08-05,phase04,C,3,3,0
2025-08-05,phase04,D,6,6,0
2025-08-05,phase04,E,4,4,0
2025-08-05,phase05,A,11,11,0
2025-08-05,phase05,B,12,12,0
2025-08-05,phase05,C,8,8,0
2025-08-05,phase05,D,12,12,0
2025-08-05,phase05,E,4,4,0
2025-08-05,phase05,F,3,3,0
2025-08-05,phase05,G,1,1,0
2025-08-05,phase06,A,2,2,0
2025-08-05,phase06,B,1,1,0
2025-08-05,phase06,C,3,3,0
2025-08-05,phase06,D,1,1,0
2025-08-05,phase06,E,4,4,0
2025-08-05,phase06,F,3,3,0
2025-08-05,phase06,G,3,3,0
2025-08-05,phase06,H,4,4,0
2025-08-05,phase06,I,2,2,0
2025-08-05,phase06,J,2,2,0
2025-08-05,phase06,K,2,2,0
2025-08-05,phase06,L,2,2,0
2025-08-05,phase06,M,2,2,0
2025-08-05,phase06,N,2,2,0
2025-08-05,phase06,O,2,2,0
2025-08-05,phase06,P,2,2,0
2025-08-05,phase06,Q,2,2,0
2025-08-05,phase06,R,2,2,0
2025-08-05,phase06,S,2,2,0
2025-08-05,phase06,T,2,2,0
2025-08-05,phase06,U,2,2,0
2025-08-05,phase06,V,2,2,0
2025-08-05,phase06,W,2,2,0
2025-08-05,phase06,X,2,2,0
2025-08-05,phase06,Y,2,2,0
2025-08-05,phase06,Z,2,2,0
2025-08-05,phase07,A,3,3,0
2025-08-05,phase07,B,3,3,0
2025-08-05,phase07,C,3,3,0
2025-08-05,phase08,AA,3,3,0
2025-08-05,phase08,AB,3,3,0
2025-08-05,phase08,A,3,3,0
2025-08-05,phase08,B,3,3,0
2025-08-05,phase08,C,3,3,0
2025-08-05,phase08,D,3,3,0
2025-08-05,phase08,E,3,3,0
2025-08-05,phase08,F,3,3,0
2025-08-05,phase08,G,3,3,0
2025-08-05,phase08,H,3,3,0
2025-08-05,phase08,I,3,3,0
2025-08-05,phase08,J,3,3,0
2025-08-05,phase08,K,3,3,0
2025-08-05,phase08,L,3,3,0
2025-08-05,phase08,M,3,3,0
2025-08-05,phase08,N,3,3,0
2025-08-05,phase08,O,3,3,0
2025-08-05,phase08,P,3,3,0
2025-08-05,phase08,Q,3,3,0
2025-08-05,phase08,R,3,3,0
2025-08-05,phase08,S,3,3,0
2025-08-05,phase08,T,3,3,0
2025-08-05,phase08,U,3,3,0
2025-08-05,phase08,V,3,3,0
2025-08-05,phase08,W,3,3,0
2025-08-05,phase08,X,3,3,0
2025-08-05,phase08,Y,3,3,0
2025-08-05,phase08,Z,3,3,0
2025-08-05,phase09,A,4,4,0
2025-08-05,phase09,B,5,5,0
2025-08-05,phase09,C,4,4,0
2025-08-05,phase09,D,5,5,0
2025-08-05,phase09,E,5,5,0
2025-08-05,phase09,F,3,3,0
2025-08-05,phase09,G,3,3,0
2025-08-05,phase09,H,3,3,0
2025-08-05,phase09,I,3,3,0
2025-08-05,phase09,J,3,3,0
2025-08-05,phase09,K,3,3,0
2025-08-05,phase0,A,1,1,0
2025-08-05,phase0,B,1,1,0
2025-08-05,phase0,C,1,1,0
2025-08-05,phase0,D,1,1,0
2025-08-05,phase0,E,1,1,0
2025-08-05,phase0,F,1,1,0
2025-08-05,phase0,G,1,1,0
2025-08-05,phase0,H,1,1,0
2025-08-05,phase0,I,1,1,0
2025-08-05,phase0,J,1,1,0
2025-08-05,phase0,K,1,1,0
2025-08-05,phase0,L,1,1,0
2025-08-05,phase0,M,1,1,0
2025-08-05,phase0,N,1,1,0
2025-08-05,phase0,O,1,1,0
2025-08-05,phase0,P,1,1,0
2025-08-05,phase0,Q,1,1,0
2025-08-05,phase0,R,1,1,0
2025-08-05,phase0,S,1,1,0
2025-08-05,phase0,T,1,1,0
2025-08-05,phase0,U,1,1,0
2025-08-05,phase0,V,1,1,0
2025-08-05,phase0,W,1,1,0
2025-08-05,phase0,X,1,1,0
2025-08-05,phase0,Y,1,1,0
2025-08-05,phase0,Z,1,1,0
2025-08-05,phase10,A,4,4,0
2025-08-05,phase10,B,4,4,0
2025-08-05,phase10,C,3,3,0
2025-08-05,phase10,D,5,5,0
2025-08-05,phase10,E,5,5,0
2025-08-05,phase10,F,5,5,0
2025-08-05,phase10,G,3,3,0
2025-08-05,phase10,H,3,3,0
2025-08-05,phase10,I,4,4,0
2025-08-05,phase10,J,4,4,0
2025-08-05,phase10,K,4,4,0
2025-08-05,phase10,L,4,4,0
2025-08-05,phase10,M,4,4,0
2025-08-05,phase10,N,4,4,0
2025-08-05,phase10,O,4,4,0
2025-08-05,phase10,P,4,4,0
2025-08-05,phase10,Q,4,4,0
2025-08-05,phase10,R,4,4,0
2025-08-05,phase10,S,4,4,0
2025-08-05,phase10,T,4,4,0
2025-08-05,phase10,U,4,4,0
2025-08-05,phase10,V,4,4,0
2025-08-05,phase10,W,4,4,0
2025-08-05,phase10,X,4,4,0
2025-08-05,phase10,Y,4,4,0
2025-08-05,phase10,Z,4,4,0
2025-08-05,phase11,AA,3,3,0
2025-08-05,phase11,AB,3,3,0
2025-08-05,phase11,A,9,9,0
2025-08-05,phase11,B,5,5,0
2025-08-05,phase11,C,3,3,0
2025-08-05,phase11,D,4,4,0
2025-08-05,phase11,E,6,6,0
2025-08-05,phase11,F,5,5,0
2025-08-05,phase11,G,2,2,0
2025-08-05,phase11,H,7,7,0
2025-08-05,phase11,I,10,10,0
2025-08-05,phase11,J,4,4,0
2025-08-05,phase11,K,4,4,0
2025-08-05,phase11,L,5,5,0
2025-08-05,phase11,M,4,4,0
2025-08-05,phase11,N,4,4,0
2025-08-05,phase11,outputs,1,1,0
2025-08-05,phase11,O,4,4,0
2025-08-05,phase11,P,4,4,0
2025-08-05,phase11,Q,4,4,0
2025-08-05,phase11,R,4,4,0
2025-08-05,phase11,S,4,4,0
2025-08-05,phase11,T,4,4,0
2025-08-05,phase11,U,4,4,0
2025-08-05,phase11,V,4,4,0
2025-08-05,phase11,W,4,4,0
2025-08-05,phase11,X,4,4,0
2025-08-05,phase11,Y,4,4,0
2025-08-05,phase11,Z,4,4,0
2025-08-05,phase12,A,7,7,0
2025-08-05,phase12,B,7,7,0
2025-08-05,phase12,C,6,6,0
2025-08-05,phase12,D,4,4,0
2025-08-05,phase12,E,6,6,0
2025-08-05,phase12,F,5,5,0
2025-08-05,phase12,G,4,4,0
2025-08-05,phase12,H,5,5,0
2025-08-05,phase12,I,5,5,0
2025-08-05,phase12,J,5,5,0
2025-08-05,phase12,K,5,5,0
2025-08-05,phase12,L,5,5,0
2025-08-05,phase12,M,5,5,0
2025-08-05,phase12,N,5,5,0
2025-08-05,phase12,O,5,5,0
2025-08-05,phase12,P,5,5,0
2025-08-05,phase12,Q,5,5,0
2025-08-05,phase12,R,5,5,0
2025-08-05,phase12,S,5,5,0
2025-08-05,phase12,T,1,1,0
2025-08-05,phase12,U,1,1,0
2025-08-05,phase12,V,1,1,0
2025-08-05,phase12,W,1,1,0
2025-08-05,phase12,X,1,1,0
2025-08-05,phase12,Y,1,1,0
2025-08-05,phase12,Z,1,1,0
2025-08-05,phase13,A,7,7,0
2025-08-05,phase13,B,7,7,0
2025-08-05,phase13,C,8,8,0
2025-08-05,phase13,D,4,4,0
2025-08-05,phase13,E,4,4,0
2025-08-05,phase13,F,4,4,0
2025-08-05,phase13,G,4,4,0
2025-08-05,phase13,H,5,5,0
2025-08-05,phase13,I,4,4,0
2025-08-05,phase13,J,4,4,0
2025-08-05,phase13,K,5,5,0
2025-08-05,phase13,L,5,5,0
2025-08-05,phase13,M,4,4,0
2025-08-05,phase13,N,4,4,0
2025-08-05,phase13,O,1,1,0
2025-08-05,phase13,P,1,1,0
2025-08-05,phase13,Q,1,1,0
2025-08-05,phase13,R,1,1,0
2025-08-05,phase13,S,1,1,0
2025-08-05,phase13,T,1,1,0
2025-08-05,phase13,U,1,1,0
2025-08-05,phase13,V,1,1,0
2025-08-05,phase13,W,1,1,0
2025-08-05,phase13,X,1,1,0
2025-08-05,phase13,Y,1,1,0
2025-08-05,phase13,Z,1,1,0
2025-08-05,phase14,A,5,5,0
2025-08-05,phase14,B,6,6,0
2025-08-05,phase14,C,6,6,0
2025-08-05,phase14,D,6,6,0
2025-08-05,phase14,E,9,9,0
2025-08-05,phase14,F,5,5,0
2025-08-05,phase14,G,4,4,0
2025-08-05,phase14,H,3,3,0
2025-08-05,phase14,I,4,4,0
2025-08-05,phase14,J,5,5,0
2025-08-05,phase14,K,4,4,0
2025-08-05,phase14,L,4,4,0
2025-08-05,phase14,M,4,4,0
2025-08-05,phase14,N,1,1,0
2025-08-05,phase14,O,1,1,0
2025-08-05,phase14,P,1,1,0
2025-08-05,phase14,Q,1,1,0
2025-08-05,phase14,R,1,1,0
2025-08-05,phase14,S,1,1,0
2025-08-05,phase14,T,1,1,0
2025-08-05,phase14,U,1,1,0
2025-08-05,phase14,V,1,1,0
2025-08-05,phase14,W,1,1,0
2025-08-05,phase14,X,1,1,0
2025-08-05,phase14,Y,1,1,0
2025-08-05,phase14,Z,1,1,0
2025-08-05,phase15,A,6,6,0
2025-08-05,phase15,B,7,7,0
2025-08-05,phase15,C,6,6,0
2025-08-05,phase15,D,6,6,0
2025-08-05,phase15,E,6,6,0
2025-08-05,phase15,F,6,6,0
2025-08-05,phase15,G,6,6,0
2025-08-05,phase15,H,6,6,0
2025-08-05,phase15,I,6,6,0
2025-08-05,phase15,J,6,6,0
2025-08-05,phase15,K,1,1,0
2025-08-05,phase15,L,1,1,0
2025-08-05,phase15,M,1,1,0
2025-08-05,phase15,N,1,1,0
2025-08-05,phase15,O,1,1,0
2025-08-05,phase15,P,1,1,0
2025-08-05,phase15,Q,1,1,0
2025-08-05,phase15,R,1,1,0
2025-08-05,phase15,S,1,1,0
2025-08-05,phase15,T,1,1,0
2025-08-05,phase15,U,1,1,0
2025-08-05,phase15,V,1,1,0
2025-08-05,phase15,W,1,1,0
2025-08-05,phase15,X,1,1,0
2025-08-05,phase15,Y,1,1,0
2025-08-05,phase15,Z,1,1,0
2025-08-05,phase16,A,4,4,0
2025-08-05,phase16,B,4,4,0
2025-08-05,phase16,C,4,4,0
2025-08-05,phase16,D,4,4,0
2025-08-05,phase16,E,4,4,0
2025-08-05,phase16,F,1,1,0
2025-08-05,phase16,G,1,1,0
2025-08-05,phase16,H,1,1,0
2025-08-05,phase16,I,1,1,0
2025-08-05,phase16,J,1,1,0
2025-08-05,phase16,K,1,1,0
2025-08-05,phase16,L,1,1,0
2025-08-05,phase16,M,1,1,0
2025-08-05,phase16,N,1,1,0
2025-08-05,phase16,O,1,1,0
2025-08-05,phase16,P,1,1,0
2025-08-05,phase16,Q,1,1,0
2025-08-05,phase16,R,1,1,0
2025-08-05,phase16,S,1,1,0
2025-08-05,phase16,T,1,1,0
2025-08-05,phase16,U,1,1,0
2025-08-05,phase16,V,1,1,0
2025-08-05,phase16,W,1,1,0
2025-08-05,phase16,X,1,1,0
2025-08-05,phase16,Y,1,1,0
2025-08-05,phase16,Z,1,1,0
2025-08-05,phase17,A,5,5,0
2025-08-05,phase17,B,5,5,0
2025-08-05,phase17,C,7,7,0
2025-08-05,phase17,D,5,5,0
2025-08-05,phase17,E,5,5,0
2025-08-05,phase17,F,1,1,0
2025-08-05,phase17,G,1,1,0
2025-08-05,phase17,H,1,1,0
2025-08-05,phase17,I,1,1,0
2025-08-05,phase17,J,1,1,0
2025-08-05,phase17,K,1,1,0
2025-08-05,phase17,L,1,1,0
2025-08-05,phase17,M,1,1,0
2025-08-05,phase17,N,1,1,0
2025-08-05,phase17,O,1,1,0
2025-08-05,phase17,P,1,1,0
2025-08-05,phase17,Q,1,1,0
2025-08-05,phase17,R,1,1,0
2025-08-05,phase17,S,1,1,0
2025-08-05,phase17,T,1,1,0
2025-08-05,phase17,U,1,1,0
2025-08-05,phase17,V,1,1,0
2025-08-05,phase17,W,1,1,0
2025-08-05,phase17,X,1,1,0
2025-08-05,phase17,Y,1,1,0
2025-08-05,phase17,Z,1,1,0
2025-08-05,phase18,A,5,5,0
2025-08-05,phase18,B,8,8,0
2025-08-05,phase18,C,8,8,0
2025-08-05,phase18,D,4,4,0
2025-08-05,phase18,E,6,6,0
2025-08-05,phase18,F,3,3,0
2025-08-05,phase18,G,5,5,0
2025-08-05,phase18,H,4,4,0
2025-08-05,phase18,I,4,4,0
2025-08-05,phase18,J,4,4,0
2025-08-05,phase18,K,4,4,0
2025-08-05,phase18,L,4,4,0
2025-08-05,phase18,M,4,4,0
2025-08-05,phase18,N,3,3,0
2025-08-05,phase18,O,4,4,0
2025-08-05,phase18,P,4,4,0
2025-08-05,phase18,Q,4,4,0
2025-08-05,phase18,R,4,4,0
2025-08-05,phase18,S,4,4,0
2025-08-05,phase18,T,4,4,0
2025-08-05,phase18,U,5,5,0
2025-08-05,phase18,V,5,5,0
2025-08-05,phase18,W,4,4,0
2025-08-05,phase18,X,4,4,0
2025-08-05,phase18,Y,4,4,0
2025-08-05,phase18,Z,4,4,0
2025-08-05,phase1,A,1,1,0
2025-08-05,phase1,B,1,1,0
2025-08-05,phase1,C,1,1,0
2025-08-05,phase1,D,1,1,0
2025-08-05,phase1,E,1,1,0
2025-08-05,phase1,F,1,1,0
2025-08-05,phase1,G,1,1,0
2025-08-05,phase1,H,1,1,0
2025-08-05,phase1,I,1,1,0
2025-08-05,phase1,J,1,1,0
2025-08-05,phase1,K,1,1,0
2025-08-05,phase1,L,1,1,0
2025-08-05,phase1,M,1,1,0
2025-08-05,phase1,N,1,1,0
2025-08-05,phase1,O,1,1,0
2025-08-05,phase1,P,1,1,0
2025-08-05,phase1,Q,1,1,0
2025-08-05,phase1,R,1,1,0
2025-08-05,phase1,S,1,1,0
2025-08-05,phase1,T,1,1,0
2025-08-05,phase1,U,1,1,0
2025-08-05,phase1,V,1,1,0
2025-08-05,phase1,W,1,1,0
2025-08-05,phase1,X,1,1,0
2025-08-05,phase1,Y,1,1,0
2025-08-05,phase1,Z,1,1,0
2025-08-05,phase2,A,1,1,0
2025-08-05,phase2,B,1,1,0
2025-08-05,phase2,C,1,1,0
2025-08-05,phase2,D,1,1,0
2025-08-05,phase2,E,1,1,0
2025-08-05,phase2,F,1,1,0
2025-08-05,phase2,G,1,1,0
2025-08-05,phase2,H,1,1,0
2025-08-05,phase2,I,1,1,0
2025-08-05,phase2,J,1,1,0
2025-08-05,phase2,K,1,1,0
2025-08-05,phase2,L,1,1,0
2025-08-05,phase2,M,1,1,0
2025-08-05,phase2,N,1,1,0
2025-08-05,phase2,O,1,1,0
2025-08-05,phase2,P,1,1,0
2025-08-05,phase2,Q,1,1,0
2025-08-05,phase2,R,1,1,0
2025-08-05,phase2,S,1,1,0
2025-08-05,phase2,T,1,1,0
2025-08-05,phase2,U,1,1,0
2025-08-05,phase2,V,1,1,0
2025-08-05,phase2,W,1,1,0
2025-08-05,phase2,X,1,1,0
2025-08-05,phase2,Y,1,1,0
2025-08-05,phase2,Z,1,1,0
2025-08-05,phase3,A,1,1,0
2025-08-05,phase3,B,1,1,0
2025-08-05,phase3,C,1,1,0
2025-08-05,phase3,D,1,1,0
2025-08-05,phase3,E,1,1,0
2025-08-05,phase3,F,1,1,0
2025-08-05,phase3,G,1,1,0
2025-08-05,phase3,H,1,1,0
2025-08-05,phase3,I,1,1,0
2025-08-05,phase3,J,1,1,0
2025-08-05,phase3,K,1,1,0
2025-08-05,phase3,L,1,1,0
2025-08-05,phase3,M,1,1,0
2025-08-05,phase3,N,1,1,0
2025-08-05,phase3,O,1,1,0
2025-08-05,phase3,P,1,1,0
2025-08-05,phase3,Q,1,1,0
2025-08-05,phase3,R,1,1,0
2025-08-05,phase3,S,1,1,0
2025-08-05,phase3,T,1,1,0
2025-08-05,phase3,U,1,1,0
2025-08-05,phase3,V,1,1,0
2025-08-05,phase3,W,1,1,0
2025-08-05,phase3,X,1,1,0
2025-08-05,phase3,Y,1,1,0
2025-08-05,phase3,Z,1,1,0
2025-08-05,phase4,A,1,1,0
2025-08-05,phase4,B,1,1,0
2025-08-05,phase4,C,1,1,0
2025-08-05,phase4,D,1,1,0
2025-08-05,phase4,E,1,1,0
2025-08-05,phase4,F,1,1,0
2025-08-05,phase4,G,1,1,0
2025-08-05,phase4,H,1,1,0
2025-08-05,phase4,I,1,1,0
2025-08-05,phase4,J,1,1,0
2025-08-05,phase4,K,1,1,0
2025-08-05,phase4,L,1,1,0
2025-08-05,phase4,M,1,1,0
2025-08-05,phase4,N,1,1,0
2025-08-05,phase4,O,1,1,0
2025-08-05,phase4,P,1,1,0
2025-08-05,phase4,Q,1,1,0
2025-08-05,phase4,R,1,1,0
2025-08-05,phase4,S,1,1,0
2025-08-05,phase4,T,1,1,0
2025-08-05,phase4,U,1,1,0
2025-08-05,phase4,V,1,1,0
2025-08-05,phase4,W,1,1,0
2025-08-05,phase4,X,1,1,0
2025-08-05,phase4,Y,1,1,0
2025-08-05,phase4,Z,1,1,0
2025-08-05,phase5,A,1,1,0
2025-08-05,phase5,B,1,1,0
2025-08-05,phase5,C,1,1,0
2025-08-05,phase5,D,1,1,0
2025-08-05,phase5,E,1,1,0
2025-08-05,phase5,F,1,1,0
2025-08-05,phase5,G,1,1,0
2025-08-05,phase5,H,1,1,0
2025-08-05,phase5,I,1,1,0
2025-08-05,phase5,J,1,1,0
2025-08-05,phase5,K,1,1,0
2025-08-05,phase5,L,1,1,0
2025-08-05,phase5,M,1,1,0
2025-08-05,phase5,N,1,1,0
2025-08-05,phase5,O,1,1,0
2025-08-05,phase5,P,1,1,0
2025-08-05,phase5,Q,1,1,0
2025-08-05,phase5,R,1,1,0
2025-08-05,phase5,S,1,1,0
2025-08-05,phase5,T,1,1,0
2025-08-05,phase5,U,1,1,0
2025-08-05,phase5,V,1,1,0
2025-08-05,phase5,W,1,1,0
2025-08-05,phase5,X,1,1,0
2025-08-05,phase5,Y,1,1,0
2025-08-05,phase5,Z,1,1,0
2025-08-05,phase6,A,1,1,0
2025-08-05,phase6,B,1,1,0
2025-08-05,phase6,C,1,1,0
2025-08-05,phase6,D,1,1,0
2025-08-05,phase6,E,1,1,0
2025-08-05,phase6,F,1,1,0
2025-08-05,phase6,G,1,1,0
2025-08-05,phase6,H,1,1,0
2025-08-05,phase6,I,1,1,0
2025-08-05,phase6,J,1,1,0
2025-08-05,phase6,K,1,1,0
2025-08-05,phase6,L,1,1,0
2025-08-05,phase6,M,1,1,0
2025-08-05,phase6,N,1,1,0
2025-08-05,phase6,O,1,1,0
2025-08-05,phase6,P,1,1,0
2025-08-05,phase6,Q,1,1,0
2025-08-05,phase6,R,1,1,0
2025-08-05,phase6,S,1,1,0
2025-08-05,phase6,T,1,1,0
2025-08-05,phase6,U,1,1,0
2025-08-05,phase6,V,1,1,0
2025-08-05,phase6,W,1,1,0
2025-08-05,phase6,X,1,1,0
2025-08-05,phase6,Y,1,1,0
2025-08-05,phase6,Z,1,1,0
2025-08-05,phase7,A,1,1,0
2025-08-05,phase7,B,1,1,0
2025-08-05,phase7,C,1,1,0
2025-08-05,phase7,D,1,1,0
2025-08-05,phase7,E,1,1,0
2025-08-05,phase7,F,1,1,0
2025-08-05,phase7,G,1,1,0
2025-08-05,phase7,H,1,1,0
2025-08-05,phase7,I,1,1,0
2025-08-05,phase7,J,1,1,0
2025-08-05,phase7,K,1,1,0
2025-08-05,phase7,L,1,1,0
2025-08-05,phase7,M,1,1,0
2025-08-05,phase7,N,1,1,0
2025-08-05,phase7,O,1,1,0
2025-08-05,phase7,P,1,1,0
2025-08-05,phase7,Q,1,1,0
2025-08-05,phase7,R,1,1,0
2025-08-05,phase7,S,1,1,0
2025-08-05,phase7,T,1,1,0
2025-08-05,phase7,U,1,1,0
2025-08-05,phase7,V,1,1,0
2025-08-05,phase7,W,1,1,0
2025-08-05,phase7,X,1,1,0
2025-08-05,phase7,Y,1,1,0
2025-08-05,phase7,Z,1,1,0
2025-08-05,phase8,A,1,1,0
2025-08-05,phase8,B,1,1,0
2025-08-05,phase8,C,1,1,0
2025-08-05,phase8,D,1,1,0
2025-08-05,phase8,E,1,1,0
2025-08-05,phase8,F,1,1,0
2025-08-05,phase8,G,1,1,0
2025-08-05,phase8,H,1,1,0
2025-08-05,phase8,I,1,1,0
2025-08-05,phase8,J,1,1,0
2025-08-05,phase8,K,1,1,0
2025-08-05,phase8,L,1,1,0
2025-08-05,phase8,M,1,1,0
2025-08-05,phase8,N,1,1,0
2025-08-05,phase8,O,1,1,0
2025-08-05,phase8,P,1,1,0
2025-08-05,phase8,Q,1,1,0
2025-08-05,phase8,R,1,1,0
2025-08-05,phase8,S,1,1,0
2025-08-05,phase8,T,1,1,0
2025-08-05,phase8,U,1,1,0
2025-08-05,phase8,V,1,1,0
2025-08-05,phase8,W,1,1,0
2025-08-05,phase8,X,1,1,0
2025-08-05,phase8,Y,1,1,0
2025-08-05,phase8,Z,1,1,0
2025-08-05,phase99,ZZ,4,4,0
2025-08-05,phase9,A,1,1,0
2025-08-05,phase9,B,1,1,0
2025-08-05,phase9,C,1,1,0
2025-08-05,phase9,D,1,1,0
2025-08-05,phase9,E,1,1,0
2025-08-05,phase9,F,1,1,0
2025-08-05,phase9,G,1,1,0
2025-08-05,phase9,H,1,1,0
2025-08-05,phase9,I,1,1,0
2025-08-05,phase9,J,1,1,0
2025-08-05,phase9,K,1,1,0
2025-08-05,phase9,L,1,1,0
2025-08-05,phase9,M,1,1,0
2025-08-05,phase9,N,1,1,0
2025-08-05,phase9,O,1,1,0
2025-08-05,phase9,P,1,1,0
2025-08-05,phase9,Q,1,1,0
2025-08-05,phase9,R,1,1,0
2025-08-05,phase9,S,1,1,0
2025-08-05,phase9,T,1,1,0
2025-08-05,phase9,U,1,1,0
2025-08-05,phase9,V,1,1,0
2025-08-05,phase9,W,1,1,0
2025-08-05,phase9,X,1,1,0
2025-08-05,phase9,Y,1,1,0
2025-08-05,phase9,Z,1,1,0
2025-08-05,phasedata,user_prefs,1,1,0
